Timestamp,What is your age?,What is your gender?,Marital Status,Are you an earning member of your household?,"After lockdowns, my mental health has become worse.",I feel more insecure about my future after the pandemic than I did before.,I feel more disappointed in myself now than I did before the pandemic.,My responsibilities and work have increased after the lockdowns. ,I feel lonely more often after the lockdown than I did before.,I get tired more easily than I did before the pandemic.,I am more worried about my physical health than I was before the lockdown.,It takes more effort for me to do my normal work now than it did before lockdown.,I have trouble concentrating on activities I used to enjoy before the lockdowns.,My appetite has reduced after the lockdowns.,I have trouble falling asleep and cannot sleep as well as I used to.,Which gender do you think the pandemic has affected more?
4/12/2022 9:11:30,18 - 29,Male,Unmarried,No,Neutral,Disagree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly Agree,The pandemic has affected everyone equally.
4/12/2022 9:13:15,18 - 29,Prefer not to say,Unmarried,No,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly Agree,The pandemic has affected everyone equally.
4/12/2022 9:16:04,50 - 59,Prefer not to say,Unmarried,Yes,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly Agree,Prefer not to say
4/12/2022 9:16:28,40 - 49,Male,Married,Yes,Strongly disagree,Disagree,Neutral,Neutral,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,Strongly disagree,Disagree,Prefer not to say
4/12/2022 9:16:48,18 - 29,Male,Unmarried,Yes,Neutral,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,The pandemic has affected everyone equally.
4/12/2022 9:16:57,30 - 39,Other,Unmarried,No,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Agree,Male
4/12/2022 9:17:25,60 or above,Prefer not to say,Married,No,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Agree,Disagree,Neutral,Prefer not to say
4/12/2022 9:17:58,40 - 49,Male,Married,No,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Female
4/12/2022 9:19:01,18 - 29,Female,Unmarried,No,Strongly agree,Strongly Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,The pandemic has affected everyone equally.
4/12/2022 9:19:36,50 - 59,Male,Married,Yes,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Disagree,Strongly agree,Agree,The pandemic has affected everyone equally.
4/12/2022 9:19:57,60 or above,Prefer not to say,Unmarried,Yes,Agree,Neutral,Agree,Strongly disagree,Neutral,Neutral,Agree,Disagree,Strongly agree,Neutral,Strongly Agree,Prefer not to say
4/12/2022 9:20:39,50 - 59,Male,Married,Yes,Disagree,Agree,Disagree,Neutral,Strongly disagree,Strongly agree,Neutral,Disagree,Agree,Neutral,Strongly disagree,The pandemic has affected everyone equally.
4/12/2022 9:22:10,18 - 29,Female,Unmarried,No,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,The pandemic has affected everyone equally.
